herdId;nSheep;farmSize;import
1;22;small;no_import
2;30;small;no_import
3;4;small;import
4;11;small;no_import
5;11;small;no_import
6;3;small;no_import
7;94;large;no_import
8;53;large;no_import
9;4;small;import
10;24;small;no_import
11;3;small;no_import
12;1;small;no_import
13;6;small;no_import
14;15;small;import
15;3;small;no_import
16;20;small;no_import
17;5;small;no_import
18;9;small;import
19;4;small;no_import
20;3;small;no_import
21;4;small;no_import
22;249;large;no_import
23;11;small;no_import
24;2;small;import
25;11;small;no_import
26;90;large;no_import
27;10;small;no_import
28;4;small;no_import
29;16;small;no_import
30;6;small;no_import
31;51;large;no_import
32;6;small;no_import
33;50;large;no_import
34;2;small;no_import
35;4;small;no_import
36;3;small;no_import
37;3;small;no_import
38;8;small;no_import
39;5;small;no_import
40;31;large;no_import
41;3;small;no_import
42;1;small;no_import
43;16;small;no_import
44;3;small;no_import
45;8;small;no_import
46;1;small;no_import
47;3;small;no_import
48;4;small;no_import
49;17;small;no_import
50;8;small;no_import
51;17;small;no_import
52;4;small;import
53;3;small;no_import
54;4;small;no_import
55;26;small;import
56;11;small;import
57;12;small;no_import
58;4;small;no_import
59;10;small;no_import
60;10;small;no_import
61;3;small;no_import
62;18;small;no_import
63;12;small;no_import
64;4;small;no_import
65;3;small;no_import
66;3;small;import
67;10;small;no_import
68;3;small;no_import
69;4;small;no_import
70;32;large;no_import
71;36;large;no_import
72;2;small;no_import
73;2;small;no_import
74;17;small;no_import
75;27;small;no_import
76;1;small;no_import
77;10;small;no_import
78;2;small;no_import
79;6;small;no_import
80;18;small;import
81;7;small;no_import
82;11;small;no_import
83;3;small;no_import
84;9;small;no_import
85;9;small;no_import
86;9;small;no_import
87;19;small;no_import
88;5;small;no_import
89;50;large;no_import
90;3;small;no_import
91;1;small;no_import
92;8;small;no_import
93;3;small;no_import
94;2;small;no_import
95;5;small;no_import
96;6;small;no_import
97;23;small;no_import
98;6;small;no_import
99;1;small;no_import
100;10;small;no_import
101;10;small;import
102;8;small;no_import
103;28;small;import
104;91;large;no_import
105;34;large;import
106;15;small;no_import
107;1;small;no_import
108;29;small;no_import
109;5;small;import
110;4;small;no_import
111;22;small;no_import
112;6;small;no_import
113;5;small;no_import
114;17;small;no_import
115;1;small;no_import
116;2;small;no_import
117;14;small;no_import
118;2;small;no_import
119;4;small;no_import
120;23;small;no_import
121;4;small;no_import
122;16;small;no_import
123;4;small;no_import
124;3;small;no_import
125;5;small;no_import
126;15;small;no_import
127;10;small;import
128;8;small;no_import
129;6;small;no_import
130;22;small;import
131;16;small;no_import
132;17;small;import
133;6;small;no_import
134;1;small;no_import
135;7;small;no_import
136;9;small;import
137;39;large;no_import
138;1;small;import
139;6;small;no_import
140;2;small;import
141;2;small;import
142;5;small;no_import
143;21;small;no_import
144;107;large;no_import
145;59;large;import
146;6;small;no_import
147;9;small;no_import
148;13;small;no_import
149;4;small;no_import
150;129;large;no_import
151;4;small;import
152;18;small;no_import
153;5;small;no_import
154;60;large;no_import
155;14;small;no_import
156;2;small;no_import
157;1;small;no_import
158;14;small;no_import
159;6;small;no_import
160;67;large;import
161;7;small;no_import
162;40;large;no_import
163;13;small;no_import
164;20;small;no_import
165;18;small;no_import
166;5;small;no_import
167;34;large;no_import
168;26;small;no_import
169;5;small;no_import
170;17;small;no_import
171;17;small;no_import
172;28;small;no_import
173;4;small;import
174;6;small;no_import
175;10;small;no_import
176;15;small;no_import
177;2;small;no_import
178;5;small;no_import
179;8;small;no_import
180;111;large;no_import
181;4;small;no_import
182;22;small;no_import
183;12;small;no_import
184;35;large;no_import
185;9;small;no_import
186;4;small;no_import
187;7;small;no_import
188;4;small;no_import
189;1;small;no_import
190;15;small;no_import
191;25;small;no_import
